#lat_deg,#lon_deg,#report_date,#status_id,#water_tech_category,#clean_country_name,#clean_adm2,#clean_adm4,#install_year,#management_clean,#status_clean,local_population_1km,usage_capacity,is_urban,is_duplicate,district
1.3069621,30.8891891,2022 Mar 01 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kyangwali,"2,021",Community Management,Functional,910.0,300.0,False,,KIKUUBE
1.3118009,31.2532146,2022 Mar 08 12:00:00 AM,Yes,,Uganda,Kikuube,Buhimba,"2,003",Community Management,Functional,637.0,250.0,False,,KIKUUBE
1.31653436,31.35826714,2010 May 07 12:00:00 AM,Yes,,Uganda,Kikuube,Buhimba,"1,992",Community Management,"Functional, needs repair",630.0,300.0,False,,KIKUUBE
1.30501474,31.12928775,2010 Jul 01 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kiziranfumbi,"1,996",Community Management,"Functional, needs repair",687.0,300.0,False,,KIKUUBE
1.3211077,31.2182831,2022 Mar 07 12:00:00 AM,Yes,,Uganda,Kikuube,Kikuube Town Council,"2,006",,Functional,803.0,250.0,False,,KIKUUBE
1.2391279,30.7367004,2022 Mar 09 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kyangwali,"2,009",Community Management,Functional,1993.0,300.0,False,,KIKUUBE
1.24031699,31.13035856,2010 May 05 12:00:00 AM,Yes,,Uganda,Kikuube,Kabwoya,"2,003",Community Management,"Functional, needs repair",858.0,300.0,False,,KIKUUBE
1.2985475,31.1263009,2022 Mar 12 12:00:00 AM,Yes,,Uganda,Kikuube,Kiziranfumbi,,Community Management,Functional,1137.0,250.0,False,,KIKUUBE
1.2496849,30.8195658,2022 Mar 05 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kyangwali,"2,021",Community Management,Functional,913.0,300.0,False,,KIKUUBE
1.31462877,31.33502333,2010 May 07 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Buhimba,"2,004",Community Management,"Functional, needs repair",393.0,300.0,False,,KIKUUBE
1.4395757,31.2765919,2022 Mar 07 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Bugambe,"2,006",Community Management,Functional,813.0,300.0,False,,KIKUUBE
1.437064,31.2371232,2022 Feb 28 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Bugambe,"2,020",Community Management,Functional,1002.0,300.0,False,,KIKUUBE
1.3221501,30.9328636,2022 Mar 13 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kabwoya,,,Functional,1400.0,300.0,False,,KIKUUBE
1.3802557,30.9777732,2022 Mar 10 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kabwoya,"2,020",Community Management,Functional,1887.0,300.0,False,,KIKUUBE
1.43721166,31.22670812,2010 Oct 01 12:00:00 AM,Yes,,Uganda,Kikuube,Bugambe,"2,010",Community Management,"Functional, needs repair",1170.0,300.0,False,,KIKUUBE
1.25223513,31.09325534,2010 May 06 12:00:00 AM,Yes,,Uganda,Kikuube,Kabwoya,"2,002",Community Management,"Functional, needs repair",437.0,300.0,False,,KIKUUBE
1.2416797,31.0810269,2022 Feb 28 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kabwoya,"2,021",Community Management,Functional,1549.0,300.0,False,,KIKUUBE
1.347641,31.32731867,2010 May 07 12:00:00 AM,Yes,,Uganda,Kikuube,Buhimba Town Council,"1,990",Community Management,"Functional, needs repair",1374.0,300.0,False,,KIKUUBE
1.1420056,30.7492992,2022 Mar 12 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kyangwali,"2,013",Community Management,Functional,1250.0,300.0,False,,KIKUUBE
1.338505,31.2276223,2022 Mar 07 12:00:00 AM,Yes,,Uganda,Kikuube,Kikuube Town Council,"2,007",Community Management,Functional,968.0,250.0,False,,KIKUUBE
1.32350403,31.23629833,2010 May 08 12:00:00 AM,Yes,,Uganda,Kikuube,Kikuube Town Council,"2,008",Private Operator/Delegated Management,"Functional, needs repair",1328.0,50.0,False,,KIKUUBE
1.4677116,31.1734022,2022 Mar 05 12:00:00 AM,Yes,,Uganda,Kikuube,Bugambe,"1,995",Community Management,Functional,566.0,250.0,False,,KIKUUBE
1.4023318,31.1345295,2022 Mar 08 12:00:00 AM,Yes,,Uganda,Kikuube,Kiziranfumbi,"2,009",Community Management,Functional,542.0,250.0,False,,KIKUUBE
1.3468571,31.3737412,2022 Mar 04 12:00:00 AM,Yes,,Uganda,Kikuube,Buhimba,"2,002",,Functional,910.0,250.0,False,,KIKUUBE
1.245412,31.0836749,2022 Mar 06 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kabwoya,"2,018",Community Management,Functional,1484.0,300.0,False,,KIKUUBE
1.2990385,31.258948,2022 Mar 04 12:00:00 AM,Yes,,Uganda,Kikuube,Buhimba,"2,011",Community Management,Functional,616.0,250.0,False,,KIKUUBE
1.33684824,31.28252569,2010 May 07 12:00:00 AM,Yes,,Uganda,Kikuube,Buhimba,"1,993",Community Management,"Functional, needs repair",588.0,300.0,False,,KIKUUBE
1.2850946,31.0891842,2022 Mar 11 12:00:00 AM,Yes,,Uganda,Kikuube,Kabwoya,"2,013",Community Management,Functional,827.0,250.0,False,,KIKUUBE
1.325875,31.2766083,2022 Mar 07 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Buhimba,"2,021",Community Management,Functional,463.0,300.0,False,,KIKUUBE
1.2392517,31.1727779,2022 Mar 07 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kabwoya,"2,012",Community Management,Functional,578.0,300.0,False,,KIKUUBE
1.22876234,30.86859378,2010 May 05 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kyangwali,"2,004",Other Institutional Management,"Functional, needs repair",1508.0,300.0,False,,KIKUUBE
1.4333864,30.9001541,2022 Mar 11 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kabwoya,,Community Management,Functional,734.0,300.0,False,,KIKUUBE
1.23483555,31.06519364,2010 May 06 12:00:00 AM,Yes,,Uganda,Kikuube,Kabwoya,"2,007",Community Management,"Functional, needs repair",650.0,300.0,False,,KIKUUBE
1.3214795,31.1820486,2022 Feb 28 12:00:00 AM,Yes,,Uganda,Kikuube,Kikuube Town Council,"2,021",Community Management,Functional,813.0,250.0,False,,KIKUUBE
1.30951571,31.21253454,2010 May 08 12:00:00 AM,Yes,,Uganda,Kikuube,Kikuube Town Council,"2,004",Community Management,"Functional, needs repair",620.0,300.0,False,,KIKUUBE
1.353511,31.2422954,2022 Mar 05 12:00:00 AM,Yes,,Uganda,Kikuube,Buhimba,"2,001",,Functional,609.0,250.0,False,,KIKUUBE
1.2657396,31.1014168,2022 Mar 10 12:00:00 AM,Yes,,Uganda,Kikuube,Kabwoya,"2,020",,Functional,833.0,250.0,False,,KIKUUBE
1.45347086,31.18159889,2010 May 06 12:00:00 AM,Yes,,Uganda,Kikuube,Bugambe,"2,004",Community Management,"Functional, needs repair",1795.0,300.0,False,,KIKUUBE
1.41862331,31.25538524,2010 May 06 12:00:00 AM,Yes,,Uganda,Kikuube,Bugambe,"2,006",Community Management,"Functional, needs repair",855.0,300.0,False,,KIKUUBE
1.35725047,31.20932845,2010 May 08 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kikuube Town Council,"2,003",Community Management,"Functional, needs repair",587.0,300.0,False,,KIKUUBE
1.3064927,31.2026582,2022 Mar 04 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kikuube Town Council,,Community Management,Functional,509.0,300.0,False,,KIKUUBE
1.2092942,31.1829807,2022 Mar 07 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Kabwoya,"2,021",Community Management,Functional,1106.0,300.0,False,,KIKUUBE
1.4926434,31.1529944,2022 Mar 08 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Bugambe,"2,018",Community Management,Functional,1425.0,300.0,False,,KIKUUBE
1.27088853,31.2311057,2010 May 08 12:00:00 AM,Yes,,Uganda,Kikuube,Kiziranfumbi,"2,004",Community Management,"Functional, needs repair",760.0,300.0,False,,KIKUUBE
1.3492219,31.2525478,2022 Mar 05 12:00:00 AM,Yes,Hand Pump,Uganda,Kikuube,Buhimba,"2,020",,Functional,999.0,300.0,False,,KIKUUBE
1.1621146,30.798818,2022 Mar 13 12:00:00 AM,Yes,,Uganda,Kikuube,Kyangwali,"2,019",,Functional,6728.0,250.0,False,,KIKUUBE
