#lat_deg,#lon_deg,#report_date,#status_id,#water_tech_category,#clean_country_name,#clean_adm2,#clean_adm4,#install_year,#management_clean,#status_clean,local_population_1km,usage_capacity,is_urban,is_duplicate,district
1.1496237,30.7474459,2022 Mar 12 12:00:00 AM,No,,Uganda,Kikuube,Kyangwali,"2,016",,Functional,1744.0,250.0,False,,KIKUUBE
1.338016,31.3933763,2022 Mar 03 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Buhimba,"2,021",,Functional,937.0,300.0,False,,KIKUUBE
1.1764747,30.7461696,2022 Mar 12 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,,Community Management,Non-Functional,1064.0,300.0,False,,KIKUUBE
1.1510531,30.8002873,2022 Mar 11 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,022",Community Management,Non-Functional,4178.0,300.0,False,,KIKUUBE
1.3812362,31.1256497,2022 Mar 07 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kiziranfumbi,"2,022",,Non-Functional,1503.0,300.0,False,,KIKUUBE
1.33407906,31.27973325,2010 Aug 06 12:00:00 AM,No,,Uganda,Kikuube,Buhimba,"2,002",Community Management,Non-Functional,544.0,300.0,False,,KIKUUBE
1.3102763,31.2843809,2022 Mar 05 12:00:00 AM,No,,Uganda,Kikuube,Buhimba,"2,005",Community Management,Functional,772.0,250.0,False,,KIKUUBE
1.3871448,31.1428461,2022 Mar 08 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kiziranfumbi,,Community Management,Non-Functional,851.0,300.0,False,,KIKUUBE
1.17548,30.7978083,2022 Mar 12 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,020",,Non-Functional,4323.0,300.0,False,,KIKUUBE
1.2223966,31.1660869,2022 Mar 07 12:00:00 AM,No,,Uganda,Kikuube,Kabwoya,"2,018",,Non-Functional,1342.0,250.0,False,,KIKUUBE
1.1501847,30.7561343,2022 Mar 10 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,020",,Functional,2398.0,300.0,False,,KIKUUBE
1.3542818,31.3946166,2022 Mar 05 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Buhimba,"2,018",,Non-Functional,1811.0,300.0,False,,KIKUUBE
1.30134085,31.12571474,2010 May 08 12:00:00 AM,No,,Uganda,Kikuube,Kiziranfumbi,"2,001",Community Management,Non-Functional,818.0,300.0,False,,KIKUUBE
1.2392817,30.7365245,2022 Mar 09 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,009",Community Management,Non-Functional,1978.0,300.0,False,,KIKUUBE
1.3350614,31.2062446,2022 Mar 04 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kikuube Town Council,"2,021",,Non-Functional,1930.0,300.0,False,,KIKUUBE
1.4385481,31.1678986,2022 Mar 08 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Bugambe,"2,006",,Non-Functional,220.0,300.0,False,,KIKUUBE
1.34828003,31.13753888,2010 May 08 12:00:00 AM,No,,Uganda,Kikuube,Kiziranfumbi,"2,002",Other Institutional Management,Non-Functional,738.0,50.0,False,,KIKUUBE
1.1512257,30.7488034,2022 Mar 12 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,013",,Non-Functional,1851.0,300.0,False,,KIKUUBE
1.1393797,30.7412111,2022 Mar 12 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,013",Community Management,Non-Functional,1014.0,300.0,False,,KIKUUBE
1.1281468,30.7608263,2022 Mar 09 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,019",Community Management,Non-Functional,1484.0,300.0,False,,KIKUUBE
1.2303625,30.7984849,2022 Mar 05 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,014",Community Management,Non-Functional,1348.0,300.0,False,,KIKUUBE
1.3697104,31.1189676,2022 Mar 10 12:00:00 AM,No,,Uganda,Kikuube,Kiziranfumbi,"2,009",,Non-Functional,906.0,250.0,False,,KIKUUBE
1.171538,30.7804757,2022 Mar 13 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,018",Community Management,Non-Functional,2886.0,300.0,False,,KIKUUBE
1.34381221,31.22076697,2010 May 08 12:00:00 AM,No,,Uganda,Kikuube,Kikuube Town Council,"2,007",Other,Non-Functional,1378.0,50.0,False,,KIKUUBE
1.1307311,30.7063844,2022 Mar 13 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"2,013",,Non-Functional,683.0,300.0,False,,KIKUUBE
1.3106863,31.3034873,2022 Mar 14 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Buhimba Town Council,"2,003",,Non-Functional,618.0,300.0,False,,KIKUUBE
1.26771,31.099095,2022 Mar 05 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kabwoya,"2,019",Community Management,Non-Functional,799.0,300.0,False,,KIKUUBE
1.1594934,30.800716,2022 Mar 11 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,,Community Management,Non-Functional,6849.0,300.0,False,,KIKUUBE
1.2245649,30.8532808,2022 Feb 28 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Kyangwali,"1,998",Community Management,Non-Functional,1029.0,300.0,False,,KIKUUBE
1.34414149,31.31466074,2010 May 10 12:00:00 AM,No,,Uganda,Kikuube,Buhimba Town Council,"2,004",Other,Non-Functional,2409.0,300.0,False,,KIKUUBE
1.24613521,31.0857762,2010 May 06 12:00:00 AM,No,,Uganda,Kikuube,Kabwoya,"1,969",Other Institutional Management,Non-Functional,1435.0,50.0,False,,KIKUUBE
1.3837782,31.2701032,2022 Mar 07 12:00:00 AM,No,Hand Pump,Uganda,Kikuube,Bugambe,"2,020",,Non-Functional,1448.0,300.0,False,,KIKUUBE
1.33536752,31.31185435,2010 Oct 01 12:00:00 AM,No,,Uganda,Kikuube,Buhimba Town Council,"2,008",Other Institutional Management,Non-Functional,1386.0,50.0,False,,KIKUUBE
1.23654587,30.93584157,2010 May 05 12:00:00 AM,No,,Uganda,Kikuube,Kyangwali,"2,007",Community Management,Non-Functional,1372.0,300.0,False,,KIKUUBE
